5/4/2015 20:50,394,238566,3558
5/4/2015 20:55,422,216236,3673
5/4/2015 21:00,435,235057,3837
5/4/2015 21:05,368,218336,3463
5/4/2015 21:10,423,207652,3444
5/4/2015 21:15,455,230455,3695
5/4/2015 21:20,452,239190,4152
5/4/2015 21:25,447,223108,3151
5/4/2015 21:30,446,236411,3432
5/4/2015 21:35,409,278143,4011
5/4/2015 21:40,446,189236,2591
5/4/2015 21:45,444,279055,3888
5/4/2015 21:50,377,241982,3214
5/4/2015 21:55,418,278021,4176
5/4/2015 22:00,433,242009,3834
5/4/2015 22:05,387,246139,4354
5/4/2015 22:10,397,116853,2098
5/4/2015 22:15,466,205557,3771
5/4/2015 22:20,462,269022,4653
5/4/2015 22:25,388,269510,4256
5/4/2015 22:30,422,244370,4200
5/4/2015 22:35,395,258042,4695
5/4/2015 22:40,438,199144,5365
5/4/2015 22:45,425,228164,10817
5/4/2015 22:50,434,251160,14025
5/4/2015 22:55,388,219301,12989
5/4/2015 23:00,373,233530,13798
5/4/2015 23:05,390,265065,15379
5/4/2015 23:10,383,265065,15379
5/4/2015 23:15,375,188963,12204
5/4/2015 23:25,369,119219,6844
5/4/2015 23:30,376,240465,15740
5/4/2015 23:35,364,241248,14382
5/4/2015 23:40,365,219775,13949
5/4/2015 23:45,352,227929,16883
5/4/2015 23:50,367,263669,19174
5/4/2015 23:55,316,215553,16839
